CMDLINE C:\Users\Nata\anaconda\envs\opt_project\python.exe yoga-pose-classification-v0.py
MEM 1218.250000 1767781894.2094
MEM 1209.843750 1767781894.3118
MEM 1210.410156 1767781894.4138
MEM 1217.867188 1767781894.5154
MEM 1216.644531 1767781894.6174
MEM 1216.210938 1767781894.7194
MEM 1227.558594 1767781894.8203
MEM 1246.843750 1767781894.9233
MEM 1263.863281 1767781895.0244
MEM 1225.730469 1767781895.1247
MEM 1226.917969 1767781895.2263
MEM 1218.257812 1767781895.3278
MEM 1218.257812 1767781895.4284
MEM 1209.261719 1767781895.5306
MEM 1209.843750 1767781895.6317
MEM 1210.468750 1767781895.7336
MEM 1218.289062 1767781895.8345
MEM 1231.652344 1767781895.9356
MEM 1216.328125 1767781896.0390
MEM 1216.363281 1767781896.1410
MEM 1217.281250 1767781896.2424
MEM 1226.011719 1767781896.3435
MEM 1227.656250 1767781896.4468
MEM 1218.257812 1767781896.5478
MEM 1218.257812 1767781896.6488
MEM 1218.257812 1767781896.7502
MEM 1209.261719 1767781896.8514
MEM 1211.035156 1767781896.9526
MEM 1212.722656 1767781897.0549
MEM 1214.472656 1767781897.1564
MEM 1216.761719 1767781897.2577
MEM 1224.050781 1767781897.3588
MEM 1211.507812 1767781897.4597
MEM 1211.507812 1767781897.5611
MEM 1213.898438 1767781897.6616
MEM 1218.257812 1767781897.7630
MEM 1218.257812 1767781897.8644
MEM 1218.257812 1767781897.9651
MEM 1209.253906 1767781898.0657
MEM 1210.429688 1767781898.1670
MEM 1212.179688 1767781898.2681
MEM 1215.386719 1767781898.3696
MEM 1215.386719 1767781898.4705
MEM 1217.640625 1767781898.5721
MEM 1217.640625 1767781898.6752
MEM 1231.937500 1767781898.7757
MEM 1261.804688 1767781898.8788
MEM 1286.789062 1767781898.9819
MEM 1308.503906 1767781899.0829
MEM 1221.746094 1767781899.1840
MEM 1224.058594 1767781899.2854
MEM 1208.234375 1767781899.3872
MEM 1209.761719 1767781899.4896
MEM 1200.878906 1767781899.6008
MEM 1202.566406 1767781899.7021
MEM 1204.957031 1767781899.8036
MEM 1206.605469 1767781899.9057
MEM 1218.636719 1767781900.0060
MEM 1209.480469 1767781900.1071
MEM 1212.996094 1767781900.2079
MEM 1217.917969 1767781900.3085
MEM 1217.917969 1767781900.4100
MEM 1217.917969 1767781900.5103
MEM 1217.917969 1767781900.6106
MEM 1210.859375 1767781900.7123
MEM 1210.687500 1767781900.8129
MEM 1211.253906 1767781900.9138
MEM 1211.253906 1767781901.0143
MEM 1226.402344 1767781901.1161
MEM 1214.625000 1767781901.2188
MEM 1217.121094 1767781901.3193
MEM 1219.308594 1767781901.4224
MEM 1224.039062 1767781901.5230
MEM 1217.917969 1767781901.6235
MEM 1217.917969 1767781901.7240
MEM 1217.917969 1767781901.8265
MEM 1208.914062 1767781901.9271
MEM 1209.511719 1767781902.0282
MEM 1212.250000 1767781902.1287
MEM 1212.386719 1767781902.2294
MEM 1216.585938 1767781902.3302
MEM 1216.992188 1767781902.4322
MEM 1219.832031 1767781902.5338
MEM 1211.167969 1767781902.6341
MEM 1213.558594 1767781902.7362
MEM 1217.917969 1767781902.8367
MEM 1217.917969 1767781902.9376
MEM 1217.917969 1767781903.0391
MEM 1217.917969 1767781903.1395
MEM 1208.925781 1767781903.2443
MEM 1210.132812 1767781903.3449
MEM 1212.382812 1767781903.4459
MEM 1214.132812 1767781903.5485
MEM 1216.421875 1767781903.6495
MEM 1219.324219 1767781903.7515
MEM 1229.203125 1767781903.8531
MEM 1211.167969 1767781903.9534
MEM 1217.917969 1767781904.0540
MEM 1217.917969 1767781904.1546
MEM 1217.917969 1767781904.2567
MEM 1217.917969 1767781904.3582
MEM 1208.914062 1767781904.4598
